Nof lines WG output:   160
Nof lines PFFT output: 160
     127       0
     126      25
     118      49
     106      71
      91      91
      71     106
      49     118
      25     126
       0     127
     -25     126
     -49     118
     -71     106
     -91      91
    -106      71
    -118      49
    -126      25
    -128       0
    -126     -25
    -118     -49
    -106     -71
     -91     -91
     -71    -106
     -49    -118
     -25    -126
       0    -128
      25    -126
      49    -118
      71    -106
      91     -91
     106     -71
     118     -49
     126     -25
     127       0
     126      25
     118      49
     106      71
      91      91
      71     106
      49     118
      25     126
       0     127
     -25     126
     -49     118
     -71     106
     -91      91
    -106      71
    -118      49
    -126      25
    -128       0
    -126     -25
    -118     -49
    -106     -71
     -91     -91
     -71    -106
     -49    -118
     -25    -126
       0    -128
      25    -126
      49    -118
      71    -106
      91     -91
     106     -71
     118     -49
     126     -25
     127       0
     126      25
     118      49
     106      71
      91      91
      71     106
      49     118
      25     126
       0     127
     -25     126
     -49     118
     -71     106
     -91      91
    -106      71
    -118      49
    -126      25
    -128       0
    -126     -25
    -118     -49
    -106     -71
     -91     -91
     -71    -106
     -49    -118
     -25    -126
       0    -128
      25    -126
      49    -118
      71    -106
      91     -91
     106     -71
     118     -49
     126     -25
     127       0
     126      25
     118      49
     106      71
      91      91
      71     106
      49     118
      25     126
       0     127
     -25     126
     -49     118
     -71     106
     -91      91
    -106      71
    -118      49
    -126      25
    -128       0
    -126     -25
    -118     -49
    -106     -71
     -91     -91
     -71    -106
     -49    -118
     -25    -126
       0    -128
      25    -126
      49    -118
      71    -106
      91     -91
     106     -71
     118     -49
     126     -25
     127       0
     126      25
     118      49
     106      71
      91      91
      71     106
      49     118
      25     126
       0     127
     -25     126
     -49     118
     -71     106
     -91      91
    -106      71
    -118      49
    -126      25
    -128       0
    -126     -25
    -118     -49
    -106     -71
     -91     -91
     -71    -106
     -49    -118
     -25    -126
       0    -128
      25    -126
      49    -118
      71    -106
      91     -91
     106     -71
     118     -49
     126     -25
        -8        -8
       -11         0
        -8         8
         0         0
        -8        -8
       -74         0
        -8         8
         0         0
        -8        -8
        34         0
        -8         8
         0         0
        -8        -8
       -10         0
        -8         8
         0         0
        -8        -8
     32762         0
        -8         8
         0         0
        -8        -8
        12         0
        -8         8
         0         0
        -8        -8
         8         0
        -8         8
         0         0
        -8        -8
       -81         0
        -8         8
         0         0
        -8        -8
       -11         0
        -8         8
         0         0
        -8        -8
       -74         0
        -8         8
         0         0
        -8        -8
        34         0
        -8         8
         0         0
        -8        -8
       -10         0
        -8         8
         0         0
        -8        -8
     32762         0
        -8         8
         0         0
        -8        -8
        12         0
        -8         8
         0         0
        -8        -8
         8         0
        -8         8
         0         0
        -8        -8
       -81         0
        -8         8
         0         0
        -8        -8
       -11         0
        -8         8
         0         0
        -8        -8
       -74         0
        -8         8
         0         0
        -8        -8
        34         0
        -8         8
         0         0
        -8        -8
       -10         0
        -8         8
         0         0
        -8        -8
     32762         0
        -8         8
         0         0
        -8        -8
        12         0
        -8         8
         0         0
        -8        -8
         8         0
        -8         8
         0         0
        -8        -8
       -81         0
        -8         8
         0         0
        -8        -8
       -11         0
        -8         8
         0         0
        -8        -8
       -74         0
        -8         8
         0         0
        -8        -8
        34         0
        -8         8
         0         0
        -8        -8
       -10         0
        -8         8
         0         0
        -8        -8
     32762         0
        -8         8
         0         0
        -8        -8
        12         0
        -8         8
         0         0
        -8        -8
         8         0
        -8         8
         0         0
        -8        -8
       -81         0
        -8         8
         0         0
        -8        -8
       -11         0
        -8         8
         0         0
        -8        -8
       -74         0
        -8         8
         0         0
        -8        -8
        34         0
        -8         8
         0         0
        -8        -8
       -10         0
        -8         8
         0         0
        -8        -8
     32762         0
        -8         8
         0         0
        -8        -8
        12         0
        -8         8
         0         0
        -8        -8
         8         0
        -8         8
         0         0
        -8        -8
       -81         0
        -8         8
         0         0
